date,payrolls_nsa,payrolls_sa,implied_sa_factors
'1990-01-01',-2093,361,-2454
'1990-02-01',496,238,258
'1990-03-01',655,209,446
'1990-04-01',641,44,597
'1990-05-01',905,151,754
'1990-06-01',567,18,549
'1990-07-01',-1269,-33,-1236
'1990-08-01',-118,-207,89
'1990-09-01',595,-97,692
'1990-10-01',197,-153,350
'1990-11-01',-37,-154,117
'1990-12-01',-229,-46,-183
'1991-01-01',-2550,-111,-2439
'1991-02-01',-32,-321,289
'1991-03-01',289,-159,448
'1991-04-01',389,-209,598
'1991-05-01',682,-116,798
'1991-06-01',481,86,395
'1991-07-01',-1202,-45,-1157
'1991-08-01',92,21,71
'1991-09-01',717,25,692
'1991-10-01',370,19,351
'1991-11-01',17,-60,77
'1991-12-01',-116,33,-149
'1992-01-01',-2387,42,-2429
'1992-02-01',253,-59,312
'1992-03-01',519,55,464
'1992-04-01',835,155,680
'1992-05-01',807,129,678
'1992-06-01',489,67,422
'1992-07-01',-1018,75,-1093
'1992-08-01',56,135,-79
'1992-09-01',785,34,751
'1992-10-01',587,181,406
'1992-11-01',241,133,108
'1992-12-01',-11,222,-233
'1993-01-01',-2166,300,-2466
'1993-02-01',603,248,355
'1993-03-01',434,-48,482
'1993-04-01',1004,303,701
'1993-05-01',963,271,692
'1993-06-01',591,179,412
'1993-07-01',-869,305,-1174
'1993-08-01',111,154,-43
'1993-09-01',989,241,748
'1993-10-01',667,285,382
'1993-11-01',343,253,90
'1993-12-01',150,329,-179
'1994-01-01',-2250,282,-2532
'1994-02-01',580,184,396
'1994-03-01',975,463,512
'1994-04-01',1080,344,736
'1994-05-01',1012,336,676
'1994-06-01',790,314,476
'1994-07-01',-945,371,-1316
'1994-08-01',308,289,19
'1994-09-01',1060,349,711
'1994-10-01',625,213,412
'1994-11-01',608,412,196
'1994-12-01',38,295,-257
'1995-01-01',-2308,337,-2645
'1995-02-01',658,194,464
'1995-03-01',756,211,545
'1995-04-01',833,163,670
'1995-05-01',723,-20,743
'1995-06-01',716,237,479
'1995-07-01',-1235,93,-1328
'1995-08-01',264,256,8
'1995-09-01',915,239,676
'1995-10-01',601,157,444
'1995-11-01',239,144,95
'1995-12-01',-2,146,-148
'1996-01-01',-2699,-5,-2694
'1996-02-01',939,421,518
'1996-03-01',805,257,548
'1996-04-01',838,167,671
'1996-05-01',1127,328,799
'1996-06-01',664,282,382
'1996-07-01',-1037,242,-1279
'1996-08-01',292,187,105
'1996-09-01',745,211,534
'1996-10-01',720,256,464
'1996-11-01',460,295,165
'1996-12-01',-21,183,-204
'1997-01-01',-2542,220,-2762
'1997-02-01',861,310,551
'1997-03-01',883,317,566
'1997-04-01',975,297,678
'1997-05-01',1081,261,820
'1997-06-01',649,268,381
'1997-07-01',-984,294,-1278
'1997-08-01',68,-20,88
'1997-09-01',1004,495,509
'1997-10-01',903,346,557
'1997-11-01',394,306,88
'1997-12-01',138,313,-175
'1998-01-01',-2551,264,-2815
'1998-02-01',776,201,575
'1998-03-01',723,150,573
'1998-04-01',1041,279,762
'1998-05-01',1084,402,682
'1998-06-01',663,232,431
'1998-07-01',-1072,126,-1198
'1998-08-01',242,338,-96
'1998-09-01',809,213,596
'1998-10-01',779,204,575
'1998-11-01',403,275,128
'1998-12-01',169,364,-195
'1999-01-01',-2751,106,-2857
'1999-02-01',988,418,570
'1999-03-01',713,108,605
'1999-04-01',1146,371,775
'1999-05-01',868,212,656
'1999-06-01',727,277,450
'1999-07-01',-870,321,-1191
'1999-08-01',56,156,-100
'1999-09-01',778,205,573
'1999-10-01',935,409,526
'1999-11-01',461,289,172
'1999-12-01',136,307,-171
'2000-01-01',-2641,234,-2875
'2000-02-01',662,116,546
'2000-03-01',1097,473,624
'2000-04-01',998,291,707
'2000-05-01',956,218,738
'2000-06-01',512,-39,551
'2000-07-01',-1219,168,-1387
'2000-08-01',12,-7,19
'2000-09-01',667,124,543
'2000-10-01',559,1,558
'2000-11-01',365,205,160
'2000-12-01',-59,152,-211
'2001-01-01',-2874,-10,-2864
'2001-02-01',667,92,575
'2001-03-01',594,-43,637
'2001-04-01',407,-286,693
'2001-05-01',707,-49,756
'2001-06-01',379,-114,493
'2001-07-01',-1489,-125,-1364
'2001-08-01',-70,-144,74
'2001-09-01',266,-252,518
'2001-10-01',202,-323,525
'2001-11-01',-189,-310,121
'2001-12-01',-382,-161,-221
'2002-01-01',-2883,-129,-2754
'2002-02-01',472,-116,588
'2002-03-01',607,-20,627
'2002-04-01',589,-96,685
'2002-05-01',771,11,760
'2002-06-01',382,48,334
'2002-07-01',-1441,-91,-1350
'2002-08-01',86,-1,87
'2002-09-01',519,-79,598
'2002-10-01',671,119,552
'2002-11-01',121,-11,132
'2002-12-01',-408,-144,-264
'2003-01-01',-2682,108,-2790
'2003-02-01',417,-135,552
'2003-03-01',496,-215,711
'2003-04-01',658,-52,710
'2003-05-01',761,16,745
'2003-06-01',330,-1,331
'2003-07-01',-1340,-2,-1338
'2003-08-01',54,-40,94
'2003-09-01',655,112,543
'2003-10-01',793,194,599
'2003-11-01',164,17,147
'2003-12-01',-180,115,-295
'2004-01-01',-2659,182,-2841
'2004-02-01',611,57,554
'2004-03-01',1041,312,729
'2004-04-01',1116,270,846
'2004-05-01',903,284,619
'2004-06-01',446,97,349
'2004-07-01',-1161,57,-1218
'2004-08-01',20,91,-71
'2004-09-01',715,157,558
'2004-10-01',981,354,627
'2004-11-01',251,55,196
'2004-12-01',-231,123,-354
'2005-01-01',-2705,147,-2852
'2005-02-01',823,259,564
'2005-03-01',840,122,718
'2005-04-01',1213,364,849
'2005-05-01',813,170,643
'2005-06-01',669,251,418
'2005-07-01',-1060,357,-1417
'2005-08-01',250,203,47
'2005-09-01',628,66,562
'2005-10-01',728,90,638
'2005-11-01',557,339,218
'2005-12-01',-201,156,-357
'2006-01-01',-2653,278,-2931
'2006-02-01',925,307,618
'2006-03-01',981,310,671
'2006-04-01',914,158,756
'2006-05-01',806,40,766
'2006-06-01',503,81,422
'2006-07-01',-1176,196,-1372
'2006-08-01',206,175,31
'2006-09-01',670,147,523
'2006-10-01',700,10,690
